file,bpm,score_rythme,score_musicalite,score_rythme_alt,score_musicalite_alt,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zcr_mean,genre_ambient,genre_classical,genre_electronic,genre_jazz,genre_latino,genre_pop,genre_reggea,genre_rock,genre_simple_note,genre_unknown,genre_voice,version_degraded_musicality,version_degraded_rhythm,version_original
audio_degraded/guitar_8467_CMj7_thin_strs__degraded_rhythm.wav,-0.043014370238223756,0.6790538537398797,0.6774016422147574,0.1551022871323264,1.0959632380984596,-0.8570839078652461,-1.6873695170395366,0.7066115386639755,-0.2858213519837834,0.5502037968608091,0.23489996906329208,0.6123633875711384,0.0844655282801944,0.19235697092073914,-0.3591722866631527,-0.1876078486241297,-0.602207853970996,-0.5482418542912887,0.8730219126483502,-0.7005788129724438,-1.340914234953125,-1.0350823797644857,-0.48332819911673774,-0.27278696792685014,0.046730173349543755,0.6208127570550772,0.45971442080938285,0.3822826967927236,1.1381128941935144,1.276391211866345,-0.4642053148657549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
audio_degraded/guitar_47866_F_min__degraded_rhythm.wav,-0.8034313430850332,0.6790538537398797,0.6774016422147574,0.1551022871323264,1.0959632380984596,1.1142756550241886,0.4391976904732134,-0.9827965962933141,2.31691672169111,0.6625848594464337,0.03600240899203,1.03733907555011,-0.55879398421169,0.8599026139512516,0.5370393511340845,0.8829097164351369,0.17964365085119763,-0.2471656660795527,1.9615614543787872,0.6984366617743916,-0.7548342953344814,-1.0474836485197847,-0.511634318560931,0.5317392445729353,-0.5070577060973706,-1.101755474496041,-1.0736839694937466,-1.2578632524173974,-1.0758620944822777,0.6394864027698267,-0.14044328320923594,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
guitar/490955_gtr_clean_545.mp3,-0.19509776480758564,0.33163095182645264,0.3470432058637181,,,0.802004298128854,-0.2723871451911106,-3.1232679415266467,1.3323845871140434,-2.017053076455236,-0.6080237952531647,-0.8735428352640289,-2.6948884689848533,0.3874968176228599,-1.2648448348901846,-0.8731263568980252,-0.24390431642821833,-1.8310601671988067,-0.792644233445858,-0.5557580347690778,-0.8632303399232159,0.5350316226626728,0.11877184349213966,-0.9762623679701868,0.2974380875812755,-0.698965587860142,-0.29017205648999395,-0.6342540539922141,-0.9408326028520362,-0.3253926550774516,2.278610774957845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
audio_degraded/guitar_800690_Acoustic_Guitar_Oneshot_Slice_59__degraded_rhythm.wav,0.9075068458202881,0.6790538537398797,0.6774016422147574,0.1551022871323264,1.0959632380984596,0.2042004462828666,0.9126190308434692,0.9996195445537072,-0.7219672157667811,0.08326064657626889,-0.31289178131225387,-0.28760230348299365,-0.21966916994643707,0.49635277039511716,-0.18016792310468444,0.04435880514155787,-0.6058274028855208,-1.0927422450656348,-1.688083976353754,-1.7466050848684047,-1.8330951725117997,-1.7940254821289094,-1.6725561704077692,-1.6548190172919728,-1.5707089977772097,-1.3465387639756745,0.714249915156508,2.192538726216884,-0.5688395656615083,-1.6278205548362554,-0.6267462937916634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
audio_degraded/voice_507399_VocalTraining_3__Nobody_likes_the_sound_of_their_own_voice_.mp3__degraded_rhythm.wav,0.7364130269297559,-0.015791950086974406,-2.626182721295636,-0.2876995365238833,-1.9758647301602605,-0.04854054409939498,0.19743481505633426,0.49681882800055555,-0.3586150354704753,-0.7010081428808045,1.2390901208186242,-0.9566222374551643,0.5552423633780139,-0.964124334787416,-0.41702062200941603,0.19790348644520855,-0.7677843578542233,0.6213110013169969,-0.10191293968620126,0.04737051626758229,0.3012025492285101,0.32650940942309414,0.3023935697186299,0.41860212048579765,0.3207623679227234,0.22004787944778606,0.005275589272835334,-0.18774927100340927,-0.1265232775444346,-0.04410879646722601,0.5213842347997382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
audio_degraded/synth_661112_Synth_Bass_Loop_11__degraded_rhythm.wav,0.12807944865230836,0.6790538537398797,0.6774016422147574,0.1551022871323264,1.0959632380984596,0.23090168977845535,0.35679955499898103,0.6717253297435132,-0.3952701872550979,0.7002384619020444,0.33390546774369384,0.9269233914276266,0.37775878955126974,0.7508553290961228,0.4355912071396112,0.9320767132108756,0.574718635149979,0.7948740985893257,1.5042806662758068,1.5018738447271947,1.3674873296178423,1.4842498180125154,1.417896568232193,1.4820255202873092,1.359691682778315,1.333572970253038,1.2475147132305104,1.3598894635343486,1.308758227498803,1.4227002133631534,-0.79434433674444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
audio_degraded/voice_254284_Vocal_Aaahh_Male_Voice__degraded_rhythm.wav,3.6069870994264615,-2.7951751653943906,-2.626182721295636,-2.058906831148722,-1.9758647301602605,1.290824797216457,0.01447941332845346,-0.8097399207329458,0.0656486267877684,-2.180467288508892,0.7600301957988987,-1.0675581809240213,-0.08437714819744442,-1.6443150080580573,-0.39300988540982346,-0.7418709535594953,0.4243222441054145,0.6130282798215905,-0.050662821281143675,0.054932810535759616,-0.09839723924864387,-0.258726869112596,-0.44869858164123977,-0.5692675332623148,-0.6761930464032494,-0.5084778690397266,-0.07300574950543344,-0.12301909640050003,-0.6672455830939582,-0.4424788264815323,0.1323893898348458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
audio_degraded/guitar_500745_Chopped_Electric_Guitar_Riff__degraded_rhythm.wav,-0.4802541296251392,-1.4054835577406826,-0.9743905395404393,-1.1733031838363026,-0.43995074603090045,0.6803365454832982,0.6003509551377171,-0.7717697943187699,-0.656453908874099,-1.1965581780259789,-1.3287530710530786,-1.296437131081469,-0.3784581198194462,-0.6988206034431674,-0.2984658753842794,-0.7116411333162247,-0.2668525485101411,-1.4439436072396383,-0.9180538677877126,-1.0438179258392704,-0.36391212191449157,-0.579271257310537,-0.4693582638628853,-0.05087538263805576,-0.5251406812152214,0.49405197717332106,0.17633960779127186,-0.5315891711861795,-0.542862847322175,-0.11146069530530742,0.3174702641332888,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
audio_degraded/guitar_800699_Acoustic_Guitar_Oneshot_Slice_68__degraded_musicality.wav,-0.9555147376543951,-0.7106377539138284,0.01668476951267876,-0.16118472976496623,-0.2556410679353772,0.21779807548062344,0.9075808747144612,0.8855922433697252,0.05970957874045584,0.9513957485744543,0.8568797704166388,1.6067222885905215,0.5383731339764508,0.7951977307144528,0.48223071823389774,1.2208979777010676,0.3366389826778188,0.010984734966695674,0.02307032105837477,0.20249769737067874,-0.41718822100310454,-0.6857725230797284,-0.26371789173795024,0.7268680826527515,1.6819030652341547,2.1036508954908286,1.6215358208560706,0.8546906857503659,0.4633432381170637,0.21294314022813346,-0.7775132022754703,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
piano/528006_A#_-_Piano_Chord.mp3,-0.043014370238223756,0.6790538537398797,0.6774016422147574,,,-0.9806874832078751,-1.3006008241100337,0.15182524100619016,-0.8942543721052624,-0.5373452210205713,-1.7097936379181864,-1.6647082163247164,-2.2161175345760578,-1.7304912252912028,-1.9368337144142127,-1.4502207328125245,-0.5442847372234485,0.7547181003491882,-1.603314017710651,-1.4357504143597646,-0.5726411074002365,-1.3216118150622156,-1.6607346454112766,-1.6175995111844401,-1.7013602488144162,-1.7764572689773108,-1.7420851415175092,-0.5976269065518469,1.7229517083426602,-0.3011389593328467,-0.188425120976398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
audio_degraded/ambient_726427_20240302_-_05_-_H5_-_MSH-6_-_Sounds_of_the_city_park__degraded_musicality.wav,-0.2331186134499261,-4.937176383825587e-16,0.0,,-1.9758647301602605,-0.027686307343376987,0.27820414192410614,-0.931329778848459,0.05254397306813985,-0.5867133859673843,1.2098741152233528,-0.9990559741603515,2.285604702592216,-0.262050495802384,1.3057934954873918,-0.10064235504853733,1.5524340855069,0.2635479237219026,0.30601650095190336,0.27154890207078686,0.19824260035261074,0.403609814230368,0.5265672187644442,0.7490778876385631,0.740615711096601,0.6781685457479675,0.7320054822043723,0.713267096032465,0.5361563514121618,0.40871226198014476,0.5654841456948566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
audio_degraded/synth_661112_Synth_Bass_Loop_11__degraded_musicality.wav,0.12807944865230836,0.6790538537398797,0.6774016422147574,1.1039633378242044,0.1744148476208436,0.23362523058009094,0.4781151839248319,0.8159188731416591,-0.37303409094507256,0.7845321173991086,0.3212570058462451,0.9944617899613493,0.49360747559617135,0.7980475461914097,0.5031386356036255,0.9184868279053878,0.6122264064226113,0.8451519728142042,1.4699444683492269,1.5834946511621595,1.6669273872016819,1.7743261288801675,1.5909276961132424,1.5835496512650002,1.5667415409313212,1.5533969493332775,1.492982857485589,1.4050929240656873,1.2955678608544097,1.419796128821804,-0.8109572466751666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
guitar/47868_G_min.mp3,-0.8034313430850332,0.6790538537398797,0.6774016422147574,,,1.2899885504397466,0.46150914448235486,-1.3720657263755385,2.354497587595844,0.224871804758164,-0.6573000273422627,0.7472368979702055,-0.20918262929874923,1.4570774470891483,0.3491693244845629,-0.36509999969026746,-1.1423451641605542,-0.18179285029239017,-1.1596526197394095,-0.13892406523505807,0.9285768031074049,-0.4504122157611277,-1.2769166949038295,-0.8109258051142516,0.5135042117025402,1.7102750754119505,0.5561431226178953,-0.11038594431538523,-0.06398957913440775,-0.9807768887299002,0.31837572722596136,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
audio_degraded/synth_208498_Analog_Synth_01_E__degraded_musicality.wav,-0.043014370238223756,0.6790538537398797,0.6774016422147574,1.1039633378242044,0.1744148476208436,-0.7145112077469133,-1.5119570046318405,0.003978569141145453,-0.9576661704435702,-0.6964835104549758,-1.1958178427888397,-0.8578872783666884,-0.6491818671997308,0.39886225664288283,0.4067105209515146,0.4414114061001725,-0.24100206045296527,-0.1609492194370521,0.5559493882370165,0.051334583509377314,0.2138703526947687,0.3025268332351258,0.2612733005988468,0.44494632126883116,0.7572901573818142,1.0189798035524242,0.9891344778927779,0.6409460435290372,1.0007692145522062,1.8379652506751016,-0.5345296259742646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
